#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
46	"<b>分类</b>\n飞龙种，一角龙亚种。\n\n<b>生境范围</b>\n出没于升月之地的大型飞龙种怪物。\n\n<b>适应性</b>\n与原种一样不擅长飞行。虽然是植食性的怪物，但是性格暴躁易怒，领地意识强，且极具攻击性。会对任何侵入其领地的生物发动无差别攻击。\n一角龙白色的巨大尖角被人们称为白银之角，银白的肤色犹如月光一般优雅而又美丽，似乎让人完全无法与其暴躁的性格联系到一起。\n\n<b>行为</b>\n白一角龙与原种一样，能够在沙地之下高速移动，并对地面上的目标进行奇袭，而在地面上，白一角龙的奔跑速度更是令普通一角龙望尘莫及。对目标穷追猛打是其特点，不断的突进攻击让猎人没有喘息的机会，特别在他发怒以后，更是如一台不知疲倦的格斗机器一般，属于极其危险的物种。"
47	"<b>分类</b>\n飞龙种，一角龙特异个体。\n\n<b>生境范围</b>\n活跃范围与原种一角龙高度重合。\n\n<b>适应性</b>\n于战斗中将独角折断，对于独角就是其尊严象征的一角龙来说，无休止的战斗才能宣泄怒气。"
48	"<b>分类</b>\n飞龙种，有着翠绿色鳞片的雌性飞龙。\n\n<b>生境范围</b>\n常栖息于林地与沼泽。\n\n<b>生态位</b>\n经常在其生息的生态系中居于顶点。因为其比起善于飞行的雄性来说更擅长奔走，主要在地面狩猎和活动，人们就对其冠以“陆之女王”的称号。\n\n<b>适应性</b>\n和雄性一样有着剧毒的尾刺、灼热的火焰喷吐以及瞬间致命的破坏力，覆盖全身的鳞甲能够格挡开锐利的刀剑，而最危险的猛冲突进是对挡路者意志力和勇气的终极考验。\n\n<b>行为</b>\n母性的本能比其他飞龙种都要强，在繁殖期间危险性比平时强上数倍。对猎人来说，雌火龙是既值得敬畏又充满吸引力的强大敌手。"
49	"<b>分类</b>\n飞龙种，雌火龙亚种。\n\n<b>生境范围</b>\n森丘、密林。\n\n<b>适应性</b>\n樱火龙的全身呈现出十分绮丽的樱红色。与雌火龙不同的是，樱火龙在地面攻击性更强，即使是经验丰富的猎人也需要集中全部的注意力去面对这个强劲的对手。樱火龙的成因分成了两个派别，一方始终坚持火龙中年变色的学说，而另一方则坚持火龙变异的学说。在双方争执不下的时候，还有一些细心的学者指出，目击报告中频繁提到的樱火龙与苍火龙成对出现的现象，或许能解开所有问题的谜团。\n\n<b>行为</b>\n樱火龙的强大之处在于，其对于尾部的运用要远远凌驾于雌火龙之上，通过扫尾、倒挂等方式，樱火龙的攻击具有更大的攻击范围，对于猎人们的威胁也更大。对于敢于欺近的猎人，樱火龙毫不留情的侧咬也会给人留下刻骨铭心的伤痛。"
50	"<b>分类</b>\n飞龙种，雌火龙特异个体。\n\n<b>生境范围</b>\n仅在旧王陵寝存有一例。\n\n<b>适应性</b>\n浑身长满火红刺棘，拥有异常坚硬的鳞甲，烈焰女王雌火龙无疑登临这一区域的生态顶点。"
51	"<b>分类</b>\n飞龙种，铠龙的幼年体。\n\n<b>生境范围</b>\n常见于森丘、火山。\n\n<b>生态位</b>\n岩龙属于少见的，比较缺乏攻击性也较为胆怯的巨大怪物，不过由于他体表的甲壳常常与真正的岩石混杂在一起并且还能采出罕见的矿石，其也是猎人狩猎的对象，不过猎人公会通常只准许狩猎离开了固有栖息地的岩龙，因此在公会中的讨伐记录并不如成年体铠龙那么多。\n虽然不以斗心闻名，但岩龙的战斗力绝不可小觑，他们力大无穷，体表的厚重外皮足以挡开不够精良的武器。而岩龙的食谱里所包括的特殊矿石也让他们具有极其特殊的能力，包括喷出火球甚至热射线，或者从自己甲壳的间隙中释放出在体内消化矿石过程中提炼出的高温、或催眠气体。\n\n<b>适应性</b>\n由于体表覆盖着岩石般的甲壳与厚皮而得名。而其生态也非常符合这个名字，大部分时间都将自己的身体埋在地下，除非经验老道的猎人或特别狡猾的生物，否则多半会将一头栖息的岩龙就当作普通的巨大石块，岩龙也会利用这种拟态来捕食较弱的生物。\n\n<b>行为</b>\n对很多猎人来说，都因为岩龙潜地的生态而将其视为一种迟钝的生物，然而，岩龙终究也是飞龙种，他的动作并不如人所预期的迟缓，并且也能利用翅膀取得对猎人的高度优势。高高跳起的岩龙落下时的重量可以很轻松地碾碎目标，因此绝对不能在狩猎时对其掉以轻心。"
52	"<b>分类</b>\n飞龙种，岩龙独行种。\n\n<b>生境范围</b>\n沙漠区域。\n\n<b>适应性</b>\n经过沙漠地区的风化作用，砂岩龙背部厚重的岩石也呈现出特殊的侵蚀现象。雷鸣沙海地区的地貌以砂石为主，日夜温差较大而且极度干旱，砂岩龙体内原本用于生成易燃气体的细菌，因为食性和气候的改变，令活性大幅降低。原本用于贮藏易燃气体的器官，现在也全部被砂石所填充。除了喷砂之外也会释放出其他有害气体，是砂岩龙的自保能力之一。\n\n<b>行为</b>\n砂岩龙虽然动作迟缓，而且失去了释放热射线和炎气的能力，但是其利用砂石进行攻击的模式对于猎人来说，仍然有着相当巨大的威胁。砂岩龙利用体重跳跃落下，一旦被其砸到，其后果可想而知。对于任何敢于轻视砂岩龙的猎人，都为此付出了相当巨大的代价。"
53	"<b>分类</b>\n飞龙种，岩龙特异个体。\n\n<b>生境范围</b>\n仅在黯幕之森有过极少的目击报告。\n\n<b>适应性</b>\n背部岩体部分晶石化的岩龙，有说法认为晶岩龙是岩龙的幼年体，这种观点尚未得到证实。"
54	"<b>分类</b>\n飞龙种。\n\n<b>生境范围</b>\n栖息范围极广，主要为森丘和火山区域。\n\n<b>生态位</b>\n雄火龙是裹覆着暗红色鳞片的雄性飞龙，相比雌火龙极强的陆战能力，雄火龙更擅长在天空中飞翔，藉此可以将狩猎的范围拓展到更加广阔的领域。由于其强大的飞行能力，几乎统御着整片天空，因此也被人称为“空之王者”。\n\n<b>适应性</b>\n和雌火龙一样，雄火龙同样拥有喷吐灼热火焰以及强大的破坏力，坚硬的鳞甲能够有效的保护自身，抵挡来自外界的攻击。\n\n<b>行为</b>\n结合空中飞行的能力，雄火龙的机动性更上一个层次，因此他也将给猎人带来更大的威胁。由于长时间在空中搜寻猎物，雄火龙的洞察力也更加敏锐，总是能找到猎物没有防备的时候给予猎物致命的一击。所以，当雄火龙在空中盘旋的时候，也请千万不要掉以轻心。"
55	"<b>分类</b>\n飞龙种，雄火龙亚种。\n\n<b>生境范围</b>\n与雄火龙的生境范围几乎完全重合。\n\n<b>适应性</b>\n因苍蓝的体色而得名。相比雄火龙，苍火龙在空中飞行的持续时间更长，对于地面目标的捕捉能力也更加敏锐。\n关于苍火龙的成因，一直以来学者都分成两个派别。其中一个派别认为，苍火龙是进入中年期之后的雄性火龙，因为年岁的成长，体内的色素水平也呈现出一些特殊的变化。体表的颜色，也从红色变成了苍蓝色。另一个派别则认为，苍火龙的成因远没有这么简单，首先，苍火龙的目击报告十分稀少，与火龙这个庞大的种群，显得有些格格不入。其次，苍火龙的活动区域与人类生活的区域少有交集，也与雄火龙实际的生态习性并不相符。然而双方都无法举出决定性的证据，因此这场旷世持久的争议，至今仍未有定论。\n无论苍火龙的成因如何，有一点是毋庸置疑的，这种巨大飞龙对于天空的统治力，确实是要在雄火龙之上的。\n\n<b>行为</b>\n通过不同的喷吐火球方式，苍火龙对于攻击范围的控制能力大幅增强，他可以将地面上的猎物玩弄在股掌之间。除了火球之外，苍火龙挥动翅膀产生的强风能够卷起地面的砂石袭击目标，从而令对手更加无法捉摸他的行动轨迹。"
56	"<b>分类</b>\n飞龙种。\n\n<b>生境范围</b>\n轰龙，是近几年才被广泛认知的飞龙种。主要栖息在沙漠区域，但是为了捕食，他也会迁徙到雪山地区。由此可见，轰龙是一种适应能力极强的飞龙种怪物。\n\n<b>生态位</b>\n经常有轰龙在雪山捕猎猛犸的目击报告，天生的怪力使他仅凭蛮力就能轻松制服对手。正是由于轰龙极强的攻击性和残暴的性情，他甚至敢于挑战古龙种怪物，藉此争夺食物和领地。因而被猎人们誉为“绝对强者”。\n\n<b>适应性</b>\n轰龙的体表覆盖着黄色和蓝色的鳞片，性情极为残暴。虽然是飞龙种怪物，但是他并不擅长飞行，而是凭借其强健的四肢在地面上爬行为主。\n\n<b>行为</b>\n轰龙尖锐的牙齿，强有力的上下颚，让他拥有十分惊人的咬合力。通过对头部前方范围的啮咬，就能置猎物于死地。同时轰龙的吼叫也十分的与众不同，通过短时间内强大的爆发式吼叫，产生的气浪冲击波，能够对周围造成极大的破坏。"
57	"<b>分类</b>\n飞龙种，岩龙的成年个体。\n\n<b>生境范围</b>\n主要栖息在火山、森丘。\n\n<b>适应性</b>\n岩龙在经过漫长的生长之后，会逐渐呈现出其最终成长完整的形态，这便是铠龙。\n“如果说岩龙是一块巨大的岩石，那么铠龙就是一座巨大的山丘。”一位经验丰富的老猎人，曾经这样意味深长的说道。由此可见，铠龙光从体型上来说已经庞大到一种令人咋舌的地步。\n铠龙体型巨大，然而它的性格却异常温顺，除非是为了保卫领地，通常不会主动攻击人类。然而人类与铠龙之间的争斗却没有停歇过，从一个侧面来说，如何与这些庞然大物共存，也是人类文明在不断前行过程中不得不面对的一个问题。\n\n<b>行为</b>\n由于常年吞食矿石，铠龙的体表也呈现出矿石化的特征，变得坚硬异常。而铠龙吞食的矿石，在其体内经过细菌的作用，也变为易燃的气体储存起来。当遭受外敌攻击时，铠龙可以通过释放这些易燃气体，喷吐出猛烈的热射线来攻击对手。同时它的体表上还有许多气孔，多余的高温气体可以通过这些气孔排出体外，灼伤靠近的敌人。"
58	"<b>分类</b>\n古龙种。\n\n<b>生境范围</b>\n目前仅栖息在迪特荒漠中的升月之地。\n\n<b>生态位</b>\n从生态位上来说，吞渊龙已经登临迪特荒漠的生态顶点。和其它古龙一样，吞渊龙现身时总是伴随着龙卷和沙尘暴等异常天候。许多升月之地的居民认为吞渊龙是沙漠意志的化身，因而将其当成神明来供奉，并且称呼其为“枯海凶神”。\n\n<b>适应性</b>\n吞渊龙得名于其进食时吞噬一切的姿态，以及巨大的犹如无底深渊一般的胃口。从外形上来看，吞渊龙颇似一只巨大的海龟，鳍状的四肢有利于在沙海中移动。背部的硬棘不仅可以用来抵御攻击，甚至能够射出，用以攻击远处的目标。\n\n<b>行为</b>\n背部的硬棘不仅可以用来抵御攻击，甚至能够射出，用以攻击远处的目标。令人意想不到的是，如此巨大的怪物能够在空中漂浮，表面上看，似乎是因为它能够控制热气流，然而实际上其生态远远要比想象的复杂许多。"
59	"<b>分类</b>\n从外形来看，燎渊龙的身体结构与枯海凶神吞渊龙十分类似，极有可能来自于同一祖先，因此被划入古龙种。\n\n<b>生境范围</b>\n燎渊龙仅在火山中的无止沸境这个神秘区域中被发现过，基于这一古龙出没的痕迹分析，学者们认为燎渊龙有可能发出使岩浆内增压的次声，加剧板块地壳活跃，造成火山群落喷发。\n\n<b>生态位</b>\n由于燎渊龙出现次数极少，现在就判定其为火山的生态顶点未免为时尚早。\n\n<b>有关传闻</b>\n最近一次燎渊龙出没的记录，即与亚培古城的覆灭有关。当时的地理学家根据地形地貌断定亚培附近的一座火山为死火山，当时的人们完全相信这一论断，对火山毫不在意，甚至在火山附近耕种。直到逐月飞行的燎渊龙降临亚培，沉默的火山群纷纷苏醒，不断喷发的熔岩犹如火渊，白昼彻夜烧灼不息。燎渊龙飞过之后，厚积的火山岩屑即将这座城市永远从地图上抹去。\n\n<b>行为</b>\n与燎渊龙伴生出现的是一种名为“火萤”的生物，这种虫类平时靠着硫化氢维持生命，火山沉寂时仿佛灰烬般的不起眼。一旦燎渊龙出现，便会成群聚集，并呈现高亢的活跃态，攻击火山区域内的其他生物。死亡后生成大量高热粉尘，形成燎渊龙身畔的热浪风柱。\n由于体型巨大，燎渊龙尽管活动相对迟缓，却能够利用升腾的热量，调整鳍状四肢的角度遁入地下或是飞天滑翔。燎渊龙的背部构造与吞渊龙类似，能够将体内积攒的热度蓄成高压火球射向四周，同时喷出含有岩浆的灼热龙息。一旦燎渊龙感受到危险，将释放身内存蓄的巨大热量，将周围存在的威胁尽皆燃尽。"
60	"<b>分类</b>\n“由于极为凶暴易怒的性情和超强的破坏力，荒厄龙被划定为古龙种，这一古老而强大的种族。”这是有记载以来的文献中，关于荒厄龙的仅存记录。\n\n<b>生境范围</b>\n目前仅存火山的目击记录。有学者猜测，荒厄龙对多种属性的认知，使得他在任何极端环境下都可以生存。\n\n<b>生态位</b>\n荒厄龙在人类的历史中恶名昭彰，被称为“恶魔”、\"永恒之破坏者”。究其原因，除了登临生态位顶端，肆意捕食飞龙种之外，荒厄龙还非常热衷展示自己的力量。由于实力的悬殊，其活跃区域生物们都会采取主动避让，因此对自然生态环境构成极大威胁。尽管留存下来的生态记录有限，但是有关于荒厄龙的传说仍不绝于耳。由于荒厄龙的目击记录或多或少都与聚集群落的毁灭相连，因此被铭刻入传说“末日浩劫”也不足为奇了。人们对这种古老生物的产生了最深层的恐惧，随之而生是无穷尽的好奇，传闻甚至有部族将其作为图腾崇拜。\n\n<b>适应性</b>\n随着近年来生物探究领域的扩大，人们对于荒厄龙有了一些间接的理解。来自古龙观测所的研究，荒厄龙体内似乎拥有一种名为厄之核心的能量源体，能够改变身体周遭的能量场，调动不限于单一属性的能量以猎杀目标。由于目击记录留存极少，荒厄龙的生态情境仍是个谜团。\n\n<b>行为</b>\n荒厄龙的性情极为暴虐易怒，一直存在的说法是，他对处于衰败期的生物有一种特殊的知觉，残忍狡黠的个性使得他不会放过任何目标。一旦感受到威胁存在，会倾其所能将对方置于毁灭的境地，直到平静下来为止。\n或者是体内包藏巨大能量体的关系，体型庞大的荒厄龙行动较为迟缓，但这并不会对他强大的攻击力有丝毫的减损。荒厄龙习惯于低空飞袭，其无止境的怒气是最为恐怖所在。"
61	"<b>分类</b>\n古龙种，荒厄龙特异个体。\n\n<b>生境范围</b>\n火山区域，岩流地。\n\n<b>有关传闻</b>\n被多部古代文献称为“恶魔”的古龙荒厄，一直流传着能够控制多种属性的传说。在一副描绘灭世传说的古老壁画中，被称作“五相御神”的怪物，与荒厄龙有着极为相似的外形。但是，能够掌控五种属性的荒厄龙却从未在这世界真实出现，直到近期荒厄龙在火山领域内再次复苏，传说变为预言的阴霾终于降临。\n\n<b>适应性</b>\n未探明。"
62	"<b>分类</b>\n古龙种。\n\n<b>生境范围</b>\n钢龙又名风翔龙，因其在飞行时，周身有风压结界而得名。钢龙十分擅长飞行，行踪不定，在伊鲁法雪山、雷鸣沙海、隐士之森等地都有获悉过它的目击报告。对于古龙观测所来说，追踪钢龙的行踪是一件十分令人头疼的事，除了观测异常的暴风和雨雪天气之外，没有更好的办法。但是，由于钢龙偶尔仍会侵袭人类居住地，学者们对于这只古龙种怪物也渐渐有了一个十分深入的了解。\n\n<b>生态位</b>\n和其它古龙种一样，钢龙在生态位上处于接近顶点的位置，尽管偶尔会也会遭到轰龙或是金狮子这种强大掠食者的威胁，但是拥有强烈尊严的钢龙是绝不会退缩的，即是对方是古龙，也毫不例外。\n\n<b>适应性</b>\n钢龙与生俱来拥有对风和天气的操控能力，这也是学者们长久以来研究的课题，令他们感到困惑的是，目前依然无法解释这种现象的成因。也有部分学者提出，可能是因为钢龙能够以肉眼无法捕捉的速度，快速挥动巨大的双翼制造强风。然而这种假说因为缺乏足够的证据，被大多数学者认为是无稽之谈。\n钢龙的表皮异常坚硬，呈现出一种金属特有的光泽，学者认为这和它长期进食各种矿石有着密切的联系。然而它的表皮并非一种十分紧致的结构，无数细微的裂缝布满周身，当有毒性液体通过这些缝隙渗入皮下，会对钢龙造成极大的威胁。\n\n<b>行为</b>\n尽管拥有古龙种的强大攻击力，钢龙的行事仍然十分谨慎。由于擅长飞翔，在与目标对阵时，常习惯于飞于空中以获取高度优势。环绕钢龙身畔，似乎无懈可击风压结界通常是猎人们最为头疼的问题。"
63	"<b>分类</b>\n古龙种，钢龙的特殊成长时期。\n\n<b>生境范围</b>\n雪山的山巅是锈钢龙的栖息地，偶尔也会有袭击人类城寨的行为。\n\n<b>行为</b>\n铁锈覆盖下的钢龙是极为危险的，为了尽快蜕去锈色的坚壳，他们会振起巨大的翼膜，卷控充斥着锈片的飓风，疯狂的攻击人类的居留地。无论是攻击速度还是杀伤力，相比普通状态都有成倍的增长。\n\n<b>相关研究</b>\n在很长的一段时间内，人们一直将锈钢龙类比为苍火龙于雄火龙，作为钢龙亚种的存在。在古龙观测所的资料中，也记录着除了铁色以外，还有过褐色与茶色的钢龙。\n最近的研究发现，这是一个严重的误解。在成长过程中的钢龙会不断地蜕皮，刚刚完成蜕皮的钢龙，身体呈乳白色，接触空气后迅速氧化为表皮光亮的铁色，此时是钢龙最活跃的状态，所以目击报告也相对较多。到达成长过渡期，钢龙全身变深，表皮开始生锈。这一时期的钢龙极为暴躁，反复袭击村庄与城寨，借由人类的护城兵器来破坏自己坚硬的表壳。但是到了最后蜕皮时期，钢龙全身被铁锈覆盖，就会变得动作迟钝。通常选择人迹罕至的地方，在生锈的表皮下面形成新的皮肤后，钢龙会用力挣脱锈迹斑斑的表皮，在这样反复的生锈蜕皮过程中不断成长。从钢龙的外形可以很容易分辨年龄，外骨骼化的不断进行会在钢龙的身体留下类似年轮的痕迹。"
64	"<b>分类</b>\n古龙种。\n\n<b>生境范围</b>\n喜欢在密林和沼泽等幽暗且高湿度的地带生活。\n\n<b>适应性</b>\n紫色的表皮柔软而坚韧，能够抵御利刃的攻击，外突的眼球给人一种十分滑稽的感觉。对比古龙种普遍易怒的个性，霞龙的性格显得较为温顺，但在受到威胁时也会攻击人类。平时移动迟缓，愤怒时则会变得极为快速。极富弹性的舌头会优先偷取人类身上的食品，令猎人迅速丧失战意。霞龙拥有拟态的能力，其全身的皮肤都能根据周遭的环境，随意变化颜色，当皮肤的颜色与环境一致时，霞龙也就顺理成章的“凭空”消失在人们面前。正是由于霞龙的这种特性，造成了对其观测的困难，因此围绕着霞龙，至今仍有许多的谜团尚未解开。\n\n<b>行为</b>\n通过将体内高度浓缩的多种毒液喷吐而出，化为长时间的气云，霞龙具有将最老练的猎人玩弄于股掌之中的能力。借助拟态的能力、长时间存在的气体云和舌头能够偷取道具的特性，霞龙能够掌控整个战场，一定要注意补给道具是否足够。"
65	"<b>分类</b>\n古龙种，种属极其古老。\n\n<b>生境范围</b>\n浮岳龙背上生长有繁盛的巨木和森林，仅仅在少数的几个地点有过目击记录，适合这种巨大生物的栖息地并不太多。较经常被发现他会在一座古塔的中央大厅休憩，由于该处是人造建筑，猜测并不是该生物的自然习性。偶尔有浮岳龙漂浮并袭击人类城镇的记录，这一行为的原因并未探明。除了古塔，也曾经在极地发现过这种古龙的身影。\n\n<b>生态位</b>\n漂浮于空中的巨大古龙，据说能够吞食大地，一口吞入整座森林。由于目击次数极为稀少，浮岳龙的实际生态目前来说仍是未知数，唯一可明确的是，这种古龙与雷光虫似乎有着某种共生关系，它们将卵产在浮岳龙体内，借助浮岳龙胃室不断进行反刍循环，在这种消化反应中生成一种特殊的可燃气体，这种气体会被浮岳龙的囊状器官搜集，帮助他漂浮在空中，姿态如同一座巨大的山岳。\n\n<b>适应性</b>\n浮岳龙的个性应该是相当温顺的，这极有可能源于其慢到令人不敢相信的新陈代谢，在其漫长的生命过程中，很少被其他掠食型怪物打扰的关系。浮岳龙借由特殊的漂浮能力避免了很多可能存在的威胁。\n\n<b>行为</b>\n尽管浮岳龙的性格温和，但是一旦他感受到危险依然会变得充满敌意，狂乱用附肢拍打地面，或是释放口中的巨大雷光虫，消耗体能制造风洞以摧毁敌人。"
66	"<b>分类</b>\n仅存在于传说中的生物，目前无法被明确划分某一种属。\n\n<b>生境范围</b>\n未探明。\n\n<b>有关传闻</b>\n极具神秘色彩，过去仅仅在传说中被记载的龙，近年来由于一位在米拉德村受训的年轻猎人的活跃，才有了确实的遭遇记录，目前尚无种属上的分类。得名于其华美的外观，晶体羽状的鳞片和优雅迅速的行动姿态。\n具有学士也无法解释的特质，似乎从其体内会释放出某种独特的能量波动，接近其的生物情绪会受到影响，甚至因为细胞活性程度增加而变得气力充盈，体能强化。依靠这种能力，可以操纵一种被称为“星羽蝶”的大型虫类协助自己猎捕与战斗。\n在梅杰波尔坦的猎人社会中，流传着“星龙的出现预兆着重大事件的发生”这样近乎迷信的说法，将它与许多狩猎史上的重大事件联系到一起。但实际星龙到底是怎样的一种生物，是否真的具有传说中的力量，只有真正与之交锋过且生还的猎人才能述说。\n\n<b>行为</b>\n通常并不具有特别强的攻击性和威胁性，对于领地没有特别的执念，往往会在感受到威胁后脱离猎场。但是一旦被激怒，随着其外表也所发生的壮美变化，破坏力和速度都会大幅度增强。与星龙的战斗需要做好应对其变动剧烈的攻击节奏的准备。"
67	"<b>分类</b>\n与星龙的特性极为相似，被认为是流浪于种群之外的危险亚种。\n\n<b>生境范围</b>\n未探明。\n\n<b>有关传闻</b>\n在星龙被梅杰波尔坦猎人公会确认狩猎后不久，有学者表示星龙的外形与许多文献记录上的描述不符。那些古老的记载认为星龙是一种更加凶暴，富有攻击性同时总是伴随着疫病、大火与地震等严重灾害出现的生物。\n不过很快地，上述描述的生物就得到了证实——根据另外一个城市失踪的调查队所遗留的调查报告，原本任务是搜索这支调查队的老练猎人们遭遇到了正在追猎调查队成员的祸星龙。该生物与猎人遭遇后立即对其展开了凶猛的攻击，如果不是救援猫的神勇表现，调查队和搜索猎人恐怕凶多吉少。在此次事件后，祸星龙就被视为凌驾于星龙之上的危险亚种，虽然公会之后也密切留意这种生物的动向，但关于他们的讨伐报告至今也很少传来。\n\n<b>行为</b>\n作为星龙亚种，祸星龙能够驱使具有在地下行进能力的星羽蝶。在战斗中祸星龙会采取多种策略，甚至包括将猎人引诱到陷阱之中再加以袭击可见其不仅仅具有星龙之上的凶暴与攻击性，在狡诈方面也更胜一筹。"
68	"<b>分类</b>\n甲壳种将军镰蟹的独行种。由于武镰蟹的目击报告极为稀少，很长一段时间调查都是出于停滞状态。很难判断他到底是将军镰蟹的特异个体，还是异变进化的同种。\n\n<b>生境范围</b>\n武镰蟹主要活跃在沼泽内的洞穴之中，攀行于岩壁的潜行方式是他的生存之道。\n\n<b>生态位</b>\n分析武镰蟹的身体构造与捕食习惯，学者们得出了武镰蟹很可能是镰蟹家族来自于海中始种的进化个体。普遍认为，甲壳种是借由其食性改变体色，武镰蟹的体表带有金属光泽的银色，同样与其食谱有关。\n\n<b>适应性</b>\n对比原种，武镰蟹的双螯关节有一些畸变。攻击状态下，与双举长镰扑向怪物的原种不同，其左肢向内弯曲折叠架起，形似“盾牌”，其右肢向外部伸出，以身体重量向猎物发起短距离冲刺。虽然这一攻击方式极具杀伤力，但也必须消耗大量能量，尚不明确是否是原种的进化方向之一。有趣的是，这一独具鲜明特点的攻击方式，也被一些天才的工匠借鉴，成为武器发明的灵感来源。\n\n<b>行为</b>\n作为甲壳种，武镰蟹的高智力也值得一提，猎人们会在其攻击招式上发现不少似曾相识的痕迹，这恐怕就是怪物们学习能力的一种表现形式。由于身体构造与水生类甲壳种类似，储液器官比原种要大的多，也能够吸取沼泽中的瘴毒，作为保护自己的防御方式。\n武镰蟹的攻击招式狡黠，善用连击，攻击速率较高且覆盖面广，但是由于其旋转时动作舒展，身下反而会形成较为安全的区域，猎人们需要仔细观察他的招式特点，善用回避。"
69	"<b>分类</b>\n目前探知仅存的牙龙种。\n\n<b>生境范围</b>\n雷狼龙生活在茂盛林木的崇山峻岭之中，凭借强韧的前肢在崎岖地形如履平地。周身覆盖着坚硬的铠甲，鳞片中的蓝黄二色与山峦色极为相谐，背尾部与肩部生长的白色毛发掩映出苍云之色。这是一种天然的保护色，以便雷狼龙在猎物未曾察觉时即可将其狩猎。\n\n<b>生态位</b>\n雷狼龙的攻击会带有雷电属性，这主要是由于雷光虫在其身体附近飞过时，雷狼龙会进行储力将雷光虫缠绕于身畔，形成“超带电状态”。普遍认为雷狼龙与雷光虫是共生关系，雷狼龙可能会捕食雷光虫的天敌，但这一说法目前尚未实证。\n\n<b>适应性</b>\n进入超带电状态的雷狼龙，全身包裹着强力电流，甚至连接近都变得非常困难。这一状态下雷狼龙的攻击速度会快速提升，其身体外部的骨骼也会变成刺棘，更增其威势。在超带电状态下不断进行有效攻击会削弱他的力量，最终解除这一可怕状态。\n\n<b>行为</b>\n雷狼龙的行动非常迅速且多变，常使用前肢攻击或是擒抱猎物，其灵活的招式与强健的膂力，使得猎物往往在眼花缭乱中丧失还击之力。被猎人们尊称为“无双狩人”。"
70	"<b>分类</b>\n体型中等，肉食性飞龙种。\n\n<b>生境范围</b>\n活跃在极寒区域，伊鲁法雪山封冻期首次发现。\n\n<b>生态位</b>\n冰牙龙是登临冰冻世界的王者，主要以猛犸之类的大型草食种动物为食。由于极端寒冷，这一区域的生物数量非常稀少，凭借强大的冰霜吐息和锋利的翼爪，利用飞翼和尻尾上生长的钉状鳞片，在光滑的冰面上自由自在地滑翔移动，冰牙龙无疑是这一区域的最强猎手。\n\n<b>适应性</b>\n食肉动物的犬齿作为捕食猎物的一种杀伤武器，正常状态下应该是上下犬齿平均发展，在攻击时上下张合即可咬死猎物，但是冰牙龙的上犬齿演化的如此巨大，下犬齿又相对退化，根本不成比例。其下颌则向下伸出巨大的护叶，用以保护突出的剑齿，在某种程度上也增加的头部重量，影响了飞行的能力。\n\n<b>行为</b>\n多年以来，冰牙龙捕猎食物的方式一直是个谜团。在王立书士队的不懈调查下，终于发现其不依赖于獠牙捕猎的事实。\n种种迹象表明，冰牙龙是一个伏击型杀手，尽管其身体不够高大，却拥有强壮的前肢。冰牙龙双翼边缘的棘爪层一度被认为与尾部的钉鳞有相同作用，都是为了活动时的抓握冰面，但是随着与冰牙龙的接触频繁，人们渐渐才发现双翼的刺棘锋利坚硬，主要是用来对付猛犸等大型草食种生物，这些尖锐的翼爪，可以轻易的切开怪物的皮肉，造成大量出血死亡，从而捕食猎物。而那对威风凛凛的琥珀色剑齿，真实用途不过是为了在攀爬时支撑头部，又或是在交配时向同类炫耀赢得交配权罢了。"
71	"<b>分类</b>\n不明，星龙稀少种。\n目前，对于灭星龙的种属，学术界仍争论不休。\n\n<b>生境范围</b>\n升月之地、旧王陵寝。仅在遗迹区域内有目击报告。\n\n<b>生态位</b>\n在星龙的狩猎记录突破零之后，有关灭星龙的目击报告在近一段时间内终于得到证实。这是一种拥有与传说之龙类似体态的怪物，在生存模式和行为方式上却截然相反。\n灭星龙的出没场所总与遗迹有关，根据分析，构成灭星龙食谱中的主菜却是一种神秘矿石，这类矿石曾为龙人一族大量开采发掘，并作为某种建筑的原材料。这一特性为其种属又添上一层神秘色彩。\n\n<b>适应性</b>\n仅从外形来看，灭星龙似乎只是星龙的变异进化种，其头部伸出的狭长双角和较暗的体色，是区分原种的主要特征。但从得到的少量血液样本来看，龙属性的充盈更接近于古龙的能量反应，也即是说灭星龙可能比星龙更接近于古龙的特征，极有可能是星龙的成长形态之一。\n灭星龙与天灾存在的某种联系，一直是学者们热衷研究的课题。最为流行的说法是，应存在某种大型古龙类怪物的活跃，导致灭星龙的觉醒。灭星龙与星龙的群体关系似乎是放牧模式，有学城附近的村民宣称，他们亲眼见过灭星龙驱赶星龙离开他们的居留地，随后那片区域就发生了恐怖的天灾。灭星龙究竟是天灾的缔造者，还是预言者，亟待更多证据佐证。\n\n<b>行为</b>\n与原种不同的是，灭星龙控场的能量波动似乎能够消弭细胞的活性，从而达到窃取斗气的效果。\n灭星龙一旦被激怒，身体将呈现出完全不同的毁灭状态。相对于原种，灭星龙的身体结构发育更为完全，攻击对手迅捷敏锐且毫不留情，灭星龙拥有比星龙更为强大的星羽蝶，数量与杀伤性成倍增加，其控制力也不容小觑。"
